d_ambient,alpha,trial,clean_survival,outlier_survival,dB_H1,n_survivors
3,0.0,0,0.472,0,0.35450949519872665,236
3,0.0,1,0.442,0,0.35134407132864,221
3,0.0,2,0.444,0,0.34679776430130005,222
3,0.0,3,0.432,0,0.5058361291885376,216
3,0.0,4,0.43,0,0.61807706579566,215
3,0.0,5,0.452,0,0.34679776430130005,226
3,0.0,6,0.404,0,0.5255530402064323,202
3,0.0,7,0.426,0,0.4923684000968933,213
3,0.0,8,0.416,0,0.5299724265933037,208
3,0.0,9,0.412,0,0.4680313393473625,206
3,0.2,0,0.318,1.0,0.61807706579566,284
3,0.2,1,0.318,1.0,0.44287120550870895,284
3,0.2,2,0.31,1.0,0.4613008424639702,280
3,0.2,3,0.338,1.0,0.5501048490405083,294
3,0.2,4,0.318,1.0,0.6114869117736816,284
3,0.2,5,0.304,1.0,0.45204751938581467,277
3,0.2,6,0.322,1.0,0.5771000385284424,286
3,0.2,7,0.328,1.0,0.61807706579566,289
3,0.2,8,0.322,1.0,0.61807706579566,286
3,0.2,9,0.296,1.0,0.61807706579566,273
3,0.4,0,0.118,1.0,0.61807706579566,392
3,0.4,1,0.136,1.0,0.61807706579566,401
3,0.4,2,0.112,1.0,0.61807706579566,389
3,0.4,3,0.11,1.0,0.61807706579566,388
3,0.4,4,0.1,1.0,0.61807706579566,383
3,0.4,5,0.13,1.0,0.61807706579566,398
3,0.4,6,0.138,1.0,0.61807706579566,402
3,0.4,7,0.12,1.0,0.61807706579566,393
3,0.4,8,0.124,1.0,0.61807706579566,395
3,0.4,9,0.116,1.0,0.61807706579566,391
5,0.0,0,0.472,0,0.35450949519872665,236
5,0.0,1,0.442,0,0.35134407132864,221
5,0.0,2,0.444,0,0.34679776430130005,222
5,0.0,3,0.432,0,0.5058361291885376,216
5,0.0,4,0.43,0,0.61807706579566,215
5,0.0,5,0.452,0,0.34679776430130005,226
5,0.0,6,0.404,0,0.5255530402064323,202
5,0.0,7,0.426,0,0.4923684000968933,213
5,0.0,8,0.416,0,0.5299724265933037,208
5,0.0,9,0.412,0,0.4680313393473625,206
5,0.2,0,0.318,1.0,0.61807706579566,284
5,0.2,1,0.318,1.0,0.44287120550870895,284
5,0.2,2,0.31,1.0,0.4613008424639702,280
5,0.2,3,0.338,1.0,0.5501048490405083,294
5,0.2,4,0.318,1.0,0.6114869117736816,284
5,0.2,5,0.304,1.0,0.45204751938581467,277
5,0.2,6,0.322,1.0,0.5771000385284424,286
5,0.2,7,0.328,1.0,0.61807706579566,289
5,0.2,8,0.322,1.0,0.61807706579566,286
5,0.2,9,0.296,1.0,0.61807706579566,273
5,0.4,0,0.118,1.0,0.61807706579566,392
5,0.4,1,0.136,1.0,0.61807706579566,401
5,0.4,2,0.112,1.0,0.61807706579566,389
5,0.4,3,0.11,1.0,0.61807706579566,388
5,0.4,4,0.1,1.0,0.61807706579566,383
5,0.4,5,0.13,1.0,0.61807706579566,398
5,0.4,6,0.138,1.0,0.61807706579566,402
5,0.4,7,0.12,1.0,0.61807706579566,393
5,0.4,8,0.124,1.0,0.61807706579566,395
5,0.4,9,0.116,1.0,0.61807706579566,391
10,0.0,0,0.472,0,0.35450949519872665,236
10,0.0,1,0.442,0,0.35134407132864,221
10,0.0,2,0.444,0,0.34679776430130005,222
10,0.0,3,0.432,0,0.5058361291885376,216
10,0.0,4,0.43,0,0.61807706579566,215
10,0.0,5,0.452,0,0.34679776430130005,226
10,0.0,6,0.404,0,0.5255530402064323,202
10,0.0,7,0.426,0,0.4923684000968933,213
10,0.0,8,0.416,0,0.5299724265933037,208
10,0.0,9,0.412,0,0.4680313393473625,206
10,0.2,0,0.318,1.0,0.61807706579566,284
10,0.2,1,0.318,1.0,0.44287120550870895,284
10,0.2,2,0.31,1.0,0.4613008424639702,280
10,0.2,3,0.338,1.0,0.5501048490405083,294
10,0.2,4,0.318,1.0,0.6114869117736816,284
10,0.2,5,0.304,1.0,0.45204751938581467,277
10,0.2,6,0.322,1.0,0.5771000385284424,286
10,0.2,7,0.328,1.0,0.61807706579566,289
10,0.2,8,0.322,1.0,0.61807706579566,286
10,0.2,9,0.296,1.0,0.61807706579566,273
10,0.4,0,0.118,1.0,0.61807706579566,392
10,0.4,1,0.136,1.0,0.61807706579566,401
10,0.4,2,0.112,1.0,0.61807706579566,389
10,0.4,3,0.11,1.0,0.61807706579566,388
10,0.4,4,0.1,1.0,0.61807706579566,383
10,0.4,5,0.13,1.0,0.61807706579566,398
10,0.4,6,0.138,1.0,0.61807706579566,402
10,0.4,7,0.12,1.0,0.61807706579566,393
10,0.4,8,0.124,1.0,0.61807706579566,395
10,0.4,9,0.116,1.0,0.61807706579566,391
20,0.0,0,0.472,0,0.35450949519872665,236
20,0.0,1,0.442,0,0.35134407132864,221
20,0.0,2,0.444,0,0.34679776430130005,222
20,0.0,3,0.432,0,0.5058361291885376,216
20,0.0,4,0.43,0,0.61807706579566,215
20,0.0,5,0.452,0,0.34679776430130005,226
20,0.0,6,0.404,0,0.5255530402064323,202
20,0.0,7,0.426,0,0.4923684000968933,213
20,0.0,8,0.416,0,0.5299724265933037,208
20,0.0,9,0.412,0,0.4680313393473625,206
20,0.2,0,0.318,1.0,0.61807706579566,284
20,0.2,1,0.318,1.0,0.44287120550870895,284
20,0.2,2,0.31,1.0,0.4613008424639702,280
20,0.2,3,0.338,1.0,0.5501048490405083,294
20,0.2,4,0.318,1.0,0.6114869117736816,284
20,0.2,5,0.304,1.0,0.45204751938581467,277
20,0.2,6,0.322,1.0,0.5771000385284424,286
20,0.2,7,0.328,1.0,0.61807706579566,289
20,0.2,8,0.322,1.0,0.61807706579566,286
20,0.2,9,0.296,1.0,0.61807706579566,273
20,0.4,0,0.118,1.0,0.61807706579566,392
20,0.4,1,0.136,1.0,0.61807706579566,401
20,0.4,2,0.112,1.0,0.61807706579566,389
20,0.4,3,0.11,1.0,0.61807706579566,388
20,0.4,4,0.1,1.0,0.61807706579566,383
20,0.4,5,0.13,1.0,0.61807706579566,398
20,0.4,6,0.138,1.0,0.61807706579566,402
20,0.4,7,0.12,1.0,0.61807706579566,393
20,0.4,8,0.124,1.0,0.61807706579566,395
20,0.4,9,0.116,1.0,0.61807706579566,391
50,0.0,0,0.472,0,0.35450949519872665,236
50,0.0,1,0.442,0,0.35134407132864,221
50,0.0,2,0.444,0,0.34679776430130005,222
50,0.0,3,0.432,0,0.5058361291885376,216
50,0.0,4,0.43,0,0.61807706579566,215
50,0.0,5,0.452,0,0.34679776430130005,226
50,0.0,6,0.404,0,0.5255530402064323,202
50,0.0,7,0.426,0,0.4923684000968933,213
50,0.0,8,0.416,0,0.5299724265933037,208
50,0.0,9,0.412,0,0.4680313393473625,206
50,0.2,0,0.318,1.0,0.61807706579566,284
50,0.2,1,0.318,1.0,0.44287120550870895,284
50,0.2,2,0.31,1.0,0.4613008424639702,280
50,0.2,3,0.338,1.0,0.5501048490405083,294
50,0.2,4,0.318,1.0,0.6114869117736816,284
50,0.2,5,0.304,1.0,0.45204751938581467,277
50,0.2,6,0.322,1.0,0.5771000385284424,286
50,0.2,7,0.328,1.0,0.61807706579566,289
50,0.2,8,0.322,1.0,0.61807706579566,286
50,0.2,9,0.296,1.0,0.61807706579566,273
50,0.4,0,0.118,1.0,0.61807706579566,392
50,0.4,1,0.136,1.0,0.61807706579566,401
50,0.4,2,0.112,1.0,0.61807706579566,389
50,0.4,3,0.11,1.0,0.61807706579566,388
50,0.4,4,0.1,1.0,0.61807706579566,383
50,0.4,5,0.13,1.0,0.61807706579566,398
50,0.4,6,0.138,1.0,0.61807706579566,402
50,0.4,7,0.12,1.0,0.61807706579566,393
50,0.4,8,0.124,1.0,0.61807706579566,395
50,0.4,9,0.116,1.0,0.61807706579566,391
