alpha,trial,clean_survival,outlier_survival,overall_survival,dB_H1,n_survivors
0.0,0,0.45666666666666667,0,0.45666666666666667,0.32744865864515305,137
0.0,1,0.4266666666666667,0,0.4266666666666667,0.35124479979276657,128
0.0,2,0.43666666666666665,0,0.43666666666666665,0.48341643065214157,131
0.0,3,0.4533333333333333,0,0.4533333333333333,0.61807706579566,136
0.0,4,0.4633333333333333,0,0.4633333333333333,0.61807706579566,139
0.0,5,0.44,0,0.44,0.5722920820116997,132
0.0,6,0.46,0,0.46,0.61807706579566,138
0.0,7,0.43333333333333335,0,0.43333333333333335,0.5256199166178703,130
0.0,8,0.43666666666666665,0,0.43666666666666665,0.45897602289915085,131
0.0,9,0.43,0,0.43,0.37552737444639206,129
0.05,0,0.47333333333333333,0.0,0.4507936507936508,0.32744865864515305,142
0.05,1,0.46,0.0,0.4380952380952381,0.35124479979276657,138
0.05,2,0.4766666666666667,0.0,0.45396825396825397,0.34809132665395737,143
0.05,3,0.4633333333333333,0.0,0.44126984126984126,0.61807706579566,139
0.05,4,0.48,0.0,0.45714285714285713,0.61807706579566,144
0.05,5,0.4166666666666667,1.0,0.4444444444444444,0.5722920820116997,140
0.05,6,0.5,0.0,0.47619047619047616,0.61807706579566,150
0.05,7,0.48,0.0,0.45714285714285713,0.5256199166178703,144
0.05,8,0.4766666666666667,0.0,0.45396825396825397,0.4138653501868248,143
0.05,9,0.48333333333333334,0.0,0.4603174603174603,0.3174729645252228,145
0.1,0,0.3933333333333333,1.0,0.45345345345345345,0.4085482880473137,151
0.1,1,0.4033333333333333,1.0,0.4624624624624625,0.465087465941906,154
0.1,2,0.3933333333333333,1.0,0.45345345345345345,0.48341643065214157,151
0.1,3,0.39,1.0,0.45045045045045046,0.61807706579566,150
0.1,4,0.35,1.0,0.4144144144144144,0.61807706579566,138
0.1,5,0.4,1.0,0.4594594594594595,0.5769301578402519,153
0.1,6,0.4,1.0,0.4594594594594595,0.61807706579566,153
0.1,7,0.36666666666666664,1.0,0.4294294294294294,0.61807706579566,143
0.1,8,0.4033333333333333,1.0,0.4624624624624625,0.5444911047816277,154
0.1,9,0.38,1.0,0.44144144144144143,0.4940267726778984,147
0.15000000000000002,0,0.36,1.0,0.45454545454545453,0.4085482880473137,160
0.15000000000000002,1,0.36333333333333334,1.0,0.45738636363636365,0.465087465941906,161
0.15000000000000002,2,0.37333333333333335,1.0,0.4659090909090909,0.48341643065214157,164
0.15000000000000002,3,0.36333333333333334,1.0,0.45738636363636365,0.61807706579566,161
0.15000000000000002,4,0.33,1.0,0.4289772727272727,0.61807706579566,151
0.15000000000000002,5,0.37666666666666665,1.0,0.46875,0.5769301578402519,165
0.15000000000000002,6,0.38,1.0,0.4715909090909091,0.61807706579566,166
0.15000000000000002,7,0.3566666666666667,1.0,0.45170454545454547,0.61807706579566,159
0.15000000000000002,8,0.37,1.0,0.4630681818181818,0.5680511519312859,163
0.15000000000000002,9,0.3433333333333333,1.0,0.4403409090909091,0.5123021528124809,155
0.2,0,0.33666666666666667,1.0,0.4693333333333333,0.5753559991717339,176
0.2,1,0.33666666666666667,1.0,0.4693333333333333,0.576151542365551,176
