alpha,trial,clean_survival,outlier_survival,overall_survival,dB_H1,n_survivors
0.0,0,0.308,0,0.308,0.5544160176068544,154
0.0,1,0.34,0,0.34,0.5360644795000553,170
0.0,2,0.276,0,0.276,0.5544160176068544,138
0.0,3,0.306,0,0.306,0.5544160176068544,153
0.0,4,0.334,0,0.334,0.5544160176068544,167
0.0,5,0.32,0,0.32,0.5544160176068544,160
0.0,6,0.31,0,0.31,0.5544160176068544,155
0.0,7,0.338,0,0.338,0.5544160176068544,169
0.0,8,0.308,0,0.308,0.5544160176068544,154
0.0,9,0.256,0,0.256,0.5217354632914066,128
0.05,0,0.332,0.038461538461538464,0.31749049429657794,0.43841278925538063,167
0.05,1,0.354,0.0,0.3365019011406844,0.41594842448830605,177
0.05,2,0.294,0.0,0.279467680608365,0.5544160176068544,147
0.05,3,0.332,0.0,0.3155893536121673,0.5544160176068544,166
0.05,4,0.354,0.0,0.3365019011406844,0.5544160176068544,177
0.05,5,0.34,0.038461538461538464,0.32509505703422054,0.5544160176068544,171
0.05,6,0.328,0.0,0.311787072243346,0.553525660187006,164
0.05,7,0.362,0.0,0.344106463878327,0.5544160176068544,181
0.05,8,0.334,0.0,0.31749049429657794,0.5544160176068544,167
0.05,9,0.276,0.038461538461538464,0.26425855513307983,0.5217354632914066,139
0.1,0,0.394,0.03636363636363636,0.35855855855855856,0.43169814720749855,199
0.1,1,0.378,0.01818181818181818,0.34234234234234234,0.41594842448830605,190
0.1,2,0.328,0.0,0.2954954954954955,0.5544160176068544,164
0.1,3,0.358,0.0,0.3225225225225225,0.48370108380913734,179
0.1,4,0.376,0.0,0.3387387387387387,0.5513187386095524,188
0.1,5,0.37,0.01818181818181818,0.33513513513513515,0.5544160176068544,186
0.1,6,0.364,0.0,0.3279279279279279,0.5544160176068544,182
0.1,7,0.39,0.0,0.35135135135135137,0.5544160176068544,195
0.1,8,0.36,0.01818181818181818,0.3261261261261261,0.5544160176068544,181
0.1,9,0.296,0.01818181818181818,0.26846846846846845,0.5217354632914066,149
0.15000000000000002,0,0.442,0.022727272727272728,0.3792517006802721,0.43169814720749855,223
0.15000000000000002,1,0.39,0.011363636363636364,0.3333333333333333,0.41594842448830605,196
0.15000000000000002,2,0.398,0.0,0.33843537414965985,0.5544160176068544,199
0.15000000000000002,3,0.382,0.0,0.32482993197278914,0.48370108380913734,191
0.15000000000000002,4,0.408,0.0,0.3469387755102041,0.5513187386095524,204
0.15000000000000002,5,0.416,0.011363636363636364,0.3554421768707483,0.5544160176068544,209
0.15000000000000002,6,0.4,0.0,0.3401360544217687,0.4729229547083378,200
0.15000000000000002,7,0.428,0.0,0.36394557823129253,0.5544160176068544,214
0.15000000000000002,8,0.396,0.022727272727272728,0.3401360544217687,0.5544160176068544,200
0.15000000000000002,9,0.326,0.011363636363636364,0.2789115646258503,0.47135740891098976,164
0.2,0,0.492,0.016,0.3968,0.37403300777077675,248
0.2,1,0.404,0.008,0.3248,0.41594842448830605,203
0.2,2,0.436,0.0,0.3488,0.5544160176068544,218
0.2,3,0.438,0.0,0.3504,0.46598413959145546,219
0.2,4,0.452,0.0,0.3616,0.5513187386095524,226
0.2,5,0.45,0.008,0.3616,0.5544160176068544,226
0.2,6,0.428,0.0,0.3424,0.4690609611570835,214
0.2,7,0.48,0.0,0.384,0.39664042368531227,240
0.2,8,0.426,0.024,0.3456,0.5544160176068544,216
0.2,9,0.368,0.008,0.296,0.39266303554177284,185
0.25,0,0.52,0.018072289156626505,0.3948948948948949,0.37403300777077675,263
0.25,1,0.45,0.012048192771084338,0.3408408408408408,0.3896312452852726,227
0.25,2,0.468,0.006024096385542169,0.35285285285285284,0.5383546091616154,235
0.25,3,0.494,0.0,0.3708708708708709,0.46598413959145546,247
0.25,4,0.506,0.0,0.37987987987987987,0.5513187386095524,253
0.25,5,0.506,0.006024096385542169,0.3813813813813814,0.5544160176068544,254
0.25,6,0.478,0.0,0.3588588588588589,0.4350998140871525,239
0.25,7,0.518,0.0,0.3888888888888889,0.3509826697409153,259
0.25,8,0.492,0.018072289156626505,0.3738738738738739,0.5544160176068544,249
0.25,9,0.43,0.006024096385542169,0.32432432432432434,0.3653077222406864,216
0.30000000000000004,0,0.548,0.014018691588785047,0.38795518207282914,0.3735715486109257,277
0.30000000000000004,1,0.496,0.009345794392523364,0.35014005602240894,0.3197904862463474,250
0.30000000000000004,2,0.54,0.004672897196261682,0.3795518207282913,0.5383546091616154,271
0.30000000000000004,3,0.552,0.009345794392523364,0.38935574229691877,0.35652903094887733,278
0.30000000000000004,4,0.566,0.004672897196261682,0.39775910364145656,0.5246225334703922,284
0.30000000000000004,5,0.572,0.004672897196261682,0.4019607843137255,0.5183759666979313,287
0.30000000000000004,6,0.528,0.004672897196261682,0.3711484593837535,0.4350998140871525,265
0.30000000000000004,7,0.572,0.0,0.4005602240896359,0.3509826697409153,286
0.30000000000000004,8,0.534,0.018691588785046728,0.3795518207282913,0.5544160176068544,271
0.30000000000000004,9,0.512,0.004672897196261682,0.3599439775910364,0.3037833906710148,257
0.35000000000000003,0,0.622,0.011152416356877323,0.4083224967490247,0.26011914387345314,314
0.35000000000000003,1,0.596,0.011152416356877323,0.3914174252275683,0.23181093111634254,301
0.35000000000000003,2,0.596,0.0037174721189591076,0.38881664499349805,0.5383546091616154,299
0.35000000000000003,3,0.622,0.01486988847583643,0.4096228868660598,0.23810074105858803,315
0.35000000000000003,4,0.616,0.011152416356877323,0.4044213263979194,0.3558006025850773,311
0.35000000000000003,5,0.628,0.007434944237918215,0.41092327698309494,0.35668322816491127,316
0.35000000000000003,6,0.612,0.0037174721189591076,0.3992197659297789,0.4350998140871525,307
0.35000000000000003,7,0.61,0.0,0.3966189856957087,0.25033659115433693,305
0.35000000000000003,8,0.596,0.01486988847583643,0.39271781534460337,0.5167863704264164,302
0.35000000000000003,9,0.632,0.007434944237918215,0.4135240572171652,0.2596604563295841,318
0.4,0,0.732,0.021021021021021023,0.4477791116446579,0.22984692826867104,373
0.4,1,0.73,0.009009009009009009,0.4417767106842737,0.17873767390847206,368
